id,observed_on,quality_grade,url,image_url,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
11795465,2018-04-29,research,https://www.inaturalist.org/observations/11795465,https://static.inaturalist.org/photos/16871658/medium.jpg,false,3,"401 Pine Point Rd, Brandenburg, KY, US",37.9690133333,-86.1058055,5,5,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
11850599,2018-04-27,research,https://www.inaturalist.org/observations/11850599,https://inaturalist-open-data.s3.amazonaws.com/photos/16959014/medium.jpg,false,,"Chambers County, TX, USA",29.8383545168,-94.6480107307,31,31,,,false,,,Lady Bird's Centaury,Zeltnera texensis,Lady Bird's Centaury,Plantae,519633
11858306,2018-04-29,research,https://www.inaturalist.org/observations/11858306,https://inaturalist-open-data.s3.amazonaws.com/photos/16972401/medium.jpeg,false,2,"Bolivar Peninsula, TX, USA",29.37247106,-94.72850619,6,6,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
11892613,2018-04-28,research,https://www.inaturalist.org/observations/11892613,https://inaturalist-open-data.s3.amazonaws.com/photos/17023524/medium.jpg,false,,"Texas, US",29.574413,-94.465942,14806,14806,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
11931414,2018-04-29,research,https://www.inaturalist.org/observations/11931414,https://static.inaturalist.org/photos/17083260/medium.jpg,false,3,"Sparta, TN  38583, Sparta, TN, US",35.8518274116,-85.3030876777,376,376,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
11987131,2018-04-29,research,https://www.inaturalist.org/observations/11987131,https://static.inaturalist.org/photos/17172674/medium.jpg,false,3,"Anahuac National Wildlife Refuge, Anahuac, TX, US",29.6004133333,-94.527655,5,5,,,false,,,Lesser Centaury,Centaurium pulchellum,Lesser Centaury,Plantae,76217
11987172,2018-04-28,research,https://www.inaturalist.org/observations/11987172,https://static.inaturalist.org/photos/17173000/medium.jpg,false,3,"Anahuac National Wildlife Refuge, Anahuac, TX, US",29.6004916667,-94.5272966667,5,5,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
12008903,2018-05-01,research,https://www.inaturalist.org/observations/12008903,https://static.inaturalist.org/photos/17208358/medium.jpg,false,3,"Ranch Rd, Mims, FL, US",28.614395,-80.9304416667,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12019846,2018-04-27,research,https://www.inaturalist.org/observations/12019846,https://inaturalist-open-data.s3.amazonaws.com/photos/17226121/medium.jpg,false,,"Chambers County, US-TX, US",29.6412925153,-94.3719550967,4,4,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
12019852,2018-04-27,research,https://www.inaturalist.org/observations/12019852,https://inaturalist-open-data.s3.amazonaws.com/photos/17226278/medium.jpg,false,,"Chambers County, TX, USA",29.6412785281,-94.3719604611,4,4,,,false,,,Lady Bird's Centaury,Zeltnera texensis,Lady Bird's Centaury,Plantae,519633
12022770,2018-04-27,research,https://www.inaturalist.org/observations/12022770,https://inaturalist-open-data.s3.amazonaws.com/photos/17230727/medium.jpg,false,,"Chambers County, TX, USA",29.6761590712,-94.4315671921,31,31,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
12027254,2018-05-01,research,https://www.inaturalist.org/observations/12027254,https://static.inaturalist.org/photos/17238537/medium.jpg,false,,"Dry Tortugas National Park, Florida, USA",24.6646481,-82.8855961,13791,13791,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
12028376,2012-05-11,research,https://www.inaturalist.org/observations/12028376,https://inaturalist-open-data.s3.amazonaws.com/photos/17240230/medium.jpeg,false,,"Womack Creek, Florida 32358, USA",30.013598,-84.5932774,2610,2610,,,false,,,Coastal Rose Gentian,Sabatia calycina,Coastal Rose Gentian,Plantae,168262
12038818,2018-05-01,research,https://www.inaturalist.org/observations/12038818,https://inaturalist-open-data.s3.amazonaws.com/photos/17257852/medium.jpeg,false,2,"12186 Fgcu Lake Pkwy E, Fort Myers, FL 33913, USA",26.4677313,-81.76697588,7,7,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12043831,2018-05-02,research,https://www.inaturalist.org/observations/12043831,https://static.inaturalist.org/photos/17266444/medium.jpg,false,3,"Anahuac National Wildlife Refuge, Anahuac, TX, US",29.6005306626,-94.5272586868,5,5,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
12060849,2012-05-11,research,https://www.inaturalist.org/observations/12060849,https://inaturalist-open-data.s3.amazonaws.com/photos/17293808/medium.jpeg,false,,"Womack Creek, Florida 32358, USA",30.013598,-84.5932774,2610,2610,,,false,,,Coastal Rose Gentian,Sabatia calycina,Coastal Rose Gentian,Plantae,168262
12130522,2018-05-04,research,https://www.inaturalist.org/observations/12130522,https://static.inaturalist.org/photos/17405802/medium.jpg,false,3,"Kenansville, FL  34739, Kenansville, FL, US",27.9511383333,-81.1422971667,5,5,,,false,,,Largeflower Rose Gentian,Sabatia grandiflora,Largeflower Rose Gentian,Plantae,127442
12141319,2018-05-04,research,https://www.inaturalist.org/observations/12141319,https://static.inaturalist.org/photos/17424023/medium.jpg,false,3,"Pennyrile Forest State Park, Cerulean, KY, US",37.0727135707,-87.6660725568,5,5,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
12154726,2018-05-03,research,https://www.inaturalist.org/observations/12154726,https://inaturalist-open-data.s3.amazonaws.com/photos/17446657/medium.jpg,false,,"Orange County, FL, USA",28.5735691436,-80.9968274065,27,27,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
12155928,2018-05-04,research,https://www.inaturalist.org/observations/12155928,https://static.inaturalist.org/photos/17448876/medium.jpg,false,3,"Clewiston, FL  33440, Clewiston, FL, US",26.5391166667,-81.2917116667,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12180065,2018-05-05,research,https://www.inaturalist.org/observations/12180065,https://static.inaturalist.org/photos/17488920/medium.jpg,false,3,"77655, Port Arthur, TX, US",29.6991366667,-93.9498883333,5,5,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
12195185,2018-05-06,research,https://www.inaturalist.org/observations/12195185,https://inaturalist-open-data.s3.amazonaws.com/photos/17516225/medium.jpeg,false,2,"Culloden, GA 31016, USA",32.8577359,-84.0740534,3700,3700,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
12197999,2018-05-05,research,https://www.inaturalist.org/observations/12197999,https://static.inaturalist.org/photos/17520901/medium.jpg,false,,"Jackson County, MS, USA",30.5118611111,-88.783675,5,5,,,false,,,Lesser Centaury,Centaurium pulchellum,Lesser Centaury,Plantae,76217
12218045,2016-04-30,research,https://www.inaturalist.org/observations/12218045,https://static.inaturalist.org/photos/17555475/medium.jpeg,false,,"Miami-Dade County, FL, USA",25.42694,-80.7215216667,,,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12240972,2018-04-15,research,https://www.inaturalist.org/observations/12240972,https://static.inaturalist.org/photos/17594283/medium.jpg,false,3,"Vest, KY  41772, Vest, KY, US",37.454005,-83.0841305,67107,67107,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
12243498,2018-04-25,research,https://www.inaturalist.org/observations/12243498,https://inaturalist-open-data.s3.amazonaws.com/photos/17597564/medium.jpeg,false,,"Johnson County, IL, USA",37.5336879832,-88.9813613892,1001,1001,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
12268009,2018-05-07,research,https://www.inaturalist.org/observations/12268009,https://inaturalist-open-data.s3.amazonaws.com/photos/17641552/medium.jpeg,false,2,"Blount County, US-TN, US",35.5536203172,-84.0918362252,6,6,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
12281314,2018-04-28,research,https://www.inaturalist.org/observations/12281314,https://static.inaturalist.org/photos/17663551/medium.jpeg,false,2,"Yancey County, US-NC, US",35.93745743,-82.2382873,34,34,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
12299517,2018-05-09,research,https://www.inaturalist.org/observations/12299517,https://inaturalist-open-data.s3.amazonaws.com/photos/17697688/medium.jpg,false,3,"37186, Westmoreland, TN, US",36.5226881393,-86.2314442825,5,5,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
12306182,2017-07-20,research,https://www.inaturalist.org/observations/12306182,https://inaturalist-open-data.s3.amazonaws.com/photos/17705561/medium.jpg,false,,"Flat Rock Cedar Glades and Barrens State Natural Area, Murfreesboro, TN 37130, USA",35.8575211913,-86.2975027847,40,40,,,false,,,Rosepink,Sabatia angularis,Rosepink,Plantae,84666
12315035,2018-05-09,research,https://www.inaturalist.org/observations/12315035,https://inaturalist-open-data.s3.amazonaws.com/photos/17723238/medium.jpeg,false,,Three Lakes WMA,27.979012,-81.056669,1878,1878,,,false,,,Largeflower Rose Gentian,Sabatia grandiflora,Largeflower Rose Gentian,Plantae,127442
12410788,2018-05-12,research,https://www.inaturalist.org/observations/12410788,https://inaturalist-open-data.s3.amazonaws.com/photos/17891991/medium.jpg,false,,"Enchanted Forest Rd, Titusville, FL 32780, USA",28.53062,-80.8018029,199,199,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
12445660,2013-07-20,research,https://www.inaturalist.org/observations/12445660,https://static.inaturalist.org/photos/17952401/medium.jpg,false,3,"Sparta, GA  31087, Sparta, GA, US",33.3975,-82.8825,0,0,,,false,,,Rosepink,Sabatia angularis,Rosepink,Plantae,84666
12525499,2018-05-16,research,https://www.inaturalist.org/observations/12525499,https://inaturalist-open-data.s3.amazonaws.com/photos/18086138/medium.jpeg,false,,"Jackson County, MS, USA",30.4516333631,-88.6562347412,977,977,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
12539396,2018-05-09,research,https://www.inaturalist.org/observations/12539396,https://inaturalist-open-data.s3.amazonaws.com/photos/18111870/medium.jpeg,false,2,"6796 Amed Rd, Bahama, NC 27503, USA",36.1342735291,-78.8175582886,,,,,false,gps,gps,pennywort,Obolaria virginica,pennywort,Plantae,126800
12557426,2018-04-28,research,https://www.inaturalist.org/observations/12557426,https://inaturalist-open-data.s3.amazonaws.com/photos/18141143/medium.jpeg,false,,"North Carolina, US",35.0192224251,-83.4377388985,10,28734,,obscured,true,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
12562445,2018-05-17,research,https://www.inaturalist.org/observations/12562445,https://static.inaturalist.org/photos/18150160/medium.jpg,false,3,"Big Cypress National Preserve, Ochopee, FL, US",25.9159534472,-81.0996038852,21653,21653,,,false,,,Bartram's rose-gentian,Sabatia bartramii,Bartram's rose-gentian,Plantae,168260
12580700,2018-04-29,research,https://www.inaturalist.org/observations/12580700,https://static.inaturalist.org/photos/18180918/medium.jpeg,false,2,"Christmas, FL 32709, USA",28.4993544844,-80.9944339469,8256,8256,,,false,gps,gps,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12599230,2018-05-12,research,https://www.inaturalist.org/observations/12599230,https://inaturalist-open-data.s3.amazonaws.com/photos/18214036/medium.jpg,false,,"2368 Mullet Lake Park Rd, Geneva, FL 32732, USA",28.7902514,-81.1387375,174,174,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
12611494,2018-05-19,research,https://www.inaturalist.org/observations/12611494,https://inaturalist-open-data.s3.amazonaws.com/photos/18235548/medium.jpg,false,3,"Huguenot Memorial Park, Jacksonville, FL, US",30.4074633333,-81.4207833333,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12616745,2018-05-11,research,https://www.inaturalist.org/observations/12616745,https://inaturalist-open-data.s3.amazonaws.com/photos/18235437/medium.jpg,false,,"Newton County, TX, USA",31.1164654656,-93.7939767876,15,15,,open,false,,,Lesser Centaury,Centaurium pulchellum,Lesser Centaury,Plantae,76217
12619717,2016-12-28,research,https://www.inaturalist.org/observations/12619717,https://static.inaturalist.org/photos/18249983/medium.jpg,false,3,"Everglades National Park, US-FL, US",25.4367576,-80.6947293061,5,29958,obscured,,true,,"",Voyria parasitica,Voyria parasitica,,Plantae,170280
12650248,2018-05-17,research,https://www.inaturalist.org/observations/12650248,https://inaturalist-open-data.s3.amazonaws.com/photos/18302269/medium.jpeg,false,,"Big Cypress, FL, USA",25.8438849702,-81.0923194885,244,244,,,false,,,Bartram's rose-gentian,Sabatia bartramii,Bartram's rose-gentian,Plantae,168260
12668271,2017-09-26,research,https://www.inaturalist.org/observations/12668271,https://inaturalist-open-data.s3.amazonaws.com/photos/18334208/medium.jpg,false,3,"71901, Hot Springs, AR, US",34.5451383333,-93.0568611667,5,5,,open,false,,,Twining Screwstem,Bartonia paniculata,Twining Screwstem,Plantae,159178
12674449,2018-05-21,research,https://www.inaturalist.org/observations/12674449,https://static.inaturalist.org/photos/18344290/medium.jpg,false,3,"SW 97th Ave, Cutler Bay, FL, US",25.5624381267,-80.3466146719,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12681193,2018-05-21,research,https://www.inaturalist.org/observations/12681193,https://inaturalist-open-data.s3.amazonaws.com/photos/18354034/medium.jpeg,false,,"Jackson County, MS, USA",30.4518183403,-88.653563261,199,199,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12733747,2018-05-18,research,https://www.inaturalist.org/observations/12733747,https://inaturalist-open-data.s3.amazonaws.com/photos/18545564/medium.jpg,false,3,"Long Hunter State Park, Nashville, TN, US",36.0943820025,-86.5454207751,188,188,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
12766339,2018-05-23,research,https://www.inaturalist.org/observations/12766339,https://inaturalist-open-data.s3.amazonaws.com/photos/18499979/medium.jpeg,false,,"Sarasota, FL, USA",27.3058238558,-82.5642567873,50,50,,,false,,,catchfly prairie gentian,Eustoma exaltatum,catchfly prairie gentian,Plantae,77125
12859355,2018-05-26,research,https://www.inaturalist.org/observations/12859355,https://static.inaturalist.org/photos/18662934/medium.jpeg,false,2,"Northside, Jacksonville, FL, USA",30.4594593048,-81.4137802124,,,,,false,gps,gps,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
12897540,2015-01-17,research,https://www.inaturalist.org/observations/12897540,https://inaturalist-open-data.s3.amazonaws.com/photos/18728921/medium.jpg,false,,"Florida, US",29.9042307557,-85.115875039,5,29433,obscured,,true,,,wiregrass gentian,Gentiana pennelliana,wiregrass gentian,Plantae,163232
12898286,2017-01-17,research,https://www.inaturalist.org/observations/12898286,https://inaturalist-open-data.s3.amazonaws.com/photos/18729990/medium.jpg,false,,"Franklin County, FL, USA",30.000418,-84.98731,5,5,,,false,,,wiregrass gentian,Gentiana pennelliana,wiregrass gentian,Plantae,163232
